user,comment,sentiment,labeler
Son Goku,Wwe kill his character now its time for John to conquer the Hollywood..,neutral,raga
Yammietime450,Remember when they just raced and stole dvd players on the side ??,positive,raga
Huy Quang,My idol johnnnnnnnn cena ??????,positive,raga
Tiktok tea,See you again at the beginning ??,positive,raga
Felipe Iz,Fast 9: Doms car: ohahahahaaaahaaaahaahhhhh Tarzans cry),positive,raga
itsmeeaustin,Anyone: has nissan Me: its tokyo drift time,positive,raga
Existence is pain,Predicting the end of this movie: Randy Orten RKOs John Cena out of nowhere.,neutral,raga
young young,I guess FF director hired wrestling superstar :) this movie is my favorite since i was a child,positive,raga
John,holy f-ing christ. I got hopes up when I saw the cast in the beginning but it just spiraled out of control they continue making these movies worse and worse. Breaking all laws of physics and just makes it so stupid its insane. The first fast and furious is one of my top favorite movies but this is just a disgrace.,negative,raga
Irshad Mavani,Yes because one wwe star wasnt enough ??,positive,raga
Alvian Ihsan nugraha,Im ready this movie,positive,raga
Alejandro Murillo,This movie series is just turning into a random pvp gta 5 server. thanks for the likes guys!!),positive,raga
Mai Vang,Im glad they bringing back Brians “wife” ??,neutral,raga
Alphawolf,Yo the ending remind me of need for speed 2014 yall remember that sence,positive,raga
Robloxian LoLster - Roblox Adventures,Is Sean Coming Back cause I saw him at 2:17 pls pause,neutral,raga
Kenneth Zubiri,jungle swing in a mustang cliff to cliff takes it.,neutral,raga
Astitva Srivastava,Nobody: FF9 Marketing team: Lets release the whole movie on YouTube.,neutral,raga
Elton Cassar,When this movie comes out its gonna break the Cinema Sins sin counter. The internet is gonna crash.,neutral,raga
Cyrius Alga Oktama,Hehehe its mission impossible boys just rename it,negative,raga
R Reed,Remember when we was just stealing dvd players,neutral,raga
Kxbi_,We have to wait a hole year......,positive,raga
boris brian,FF 7: Car jump from building to building FF 8: Lot of cars jump from building FF9: Car jump from mountain to mountain FF10: intergalactic car jump,positive,raga
tonymontana1231,Imagine if they brind back Paul after huge conspiracy.,positive,raga
Kaelo Sefanele,wow! I cant wait for fast9 im also happy that Han is back!,positive,raga
Bradley Moon,As a fast and furious fan I dont think I can watch this. None of it is how it used to be in the original films.,negative,raga
?Cxpid?,It breaks my heart to know that the Rock aint in it but sorta happy John cena is :3,positive,raga
Viraj Gawade,I was expecting Dom to save the world from aliensIm disappointed.,negative,raga
Asuka Langley,Doms brother driving a Mustang instead of a dodge meaning he is the complete opposite of Dom SO ORIGINAL,negative,raga
Relax Santai,han is back.. why they dont want bring back brian?? =)),positive,raga
?????,What the hans alive!!!!im so excited!!,positive,raga
Jacob Ramirez,Cipher reminds me of Ernst Blofeld Christoph Waltz) from Spectre and No Time To Die.,positive,raga
ferdiman,I remember when they were stealing dvd players and driving Honda Civics,positive,raga
XxHusnaxX K,Nothing is the same without Paul Walker Miss you Paul ??,positive,raga
Benton Xavier,0:09 Spending time on a farm with the family trying to fix a tractor on retirement but eventually getting dragged back into business cliche,neutral,raga
Jetfire97,2:35 rip Hans car,neutral,raga
KikoMachine,doesnt feel like fast n furious anymore because theres no Paul Walker : RIP,negative,raga
Connor Kelly,Me: Im done with fast and furious Han: Nice clubhouse,positive,raga
Brian Reale,Theyre gonna keep making these until they run out of cars!??,positive,raga
Mimah 101,3:11 is where I completely lost all my brain cells. I cant count how many times I went back to try to figure out in someway just how...what...HOW???,positive,raga
Mudit Malhotra,Tokyo drift family ????????,neutral,raga
citi chan,Could we have a Tesla in the saga? Im a big fan of Tesla.,positive,raga
Florin N,Bro the producers are just trolling the fans at this moment.,negative,raga
virgilio moncada,So now that Han is back can we have a second Tokyo drift? This time with Eurobeat please.,positive,raga
Troll Phace,Remember when they just stole DVD players?,positive,raga
The Esconar,Remember when it was just about racing not anymore,neutral,raga
yaniyosun fuat abi,The Rock vs Vin Diesel 2010 John Cena vs Vin Diesel 2020 Megatron vs Vin Diesel 2030 God vs Vin Diesel 2040,neutral,raga
AMB,whos dom brother i cant see him,neutral,raga
WEED,FF is thaDefinition of dreams come true??????,positive,raga
Edvin Sundholm,wtf has happend to fast & the furious dude i miss tokyo drift,neutral,raga
Rajat Varkad,Fast 10 : Dads return Fast 11: Moms secret Fast 12: Das was not my Dad!!!,positive,raga
Noah Boat,One brother is rocking mustang and the other is rocking Dodge I can come y they hate each other,neutral,raga
Rahman Agayev,Avengers: Endgame was more realistic than ff9 ??,negative,raga
[YT]NinjaD,1:14 Who is he? Me: HIS NAME IS JOHN CENA,neutral,raga
Michael Ryan Moran,i like how they started the series.. Now its getting wild.. I think ill watch it until EPISODE 99: The rise of Paul TORRETO!,positive,raga
Mr. Kapalot,Ion like her cut hair I dont feel Im watching fast n furious without her long hair,positive,raga
Ayo Lui,Damn if we still had Paul walker here ??,positive,raga
BergerMan Gaming,#NAME?,neutral,raga
neihana hekr,Breaking news...The voltic rocket from gta v made it into fast and furious damn??????,neutral,raga
The Pizzo,This is so bad... yet Im somehow going to watch it in like 3 years,negative,raga
Mistrrr,Toyota: no racing games for u Also Toyota: lol heres some bs international crime with a mk5 supra,neutral,raga
jim holroyd,1:10 Liberty Square Tbilisi...St Georges Column,neutral,raga
denny thomas,This feels like the transformers just keep adding more background storylines with different villains and bigger action pieces. FF20 will be Doms fathers third wifes second kid coming to hurt the family...,negative,raga
??? AMAT?UR S?? VID?O - ?LI?? ??R?,?????? Thanks for the inspiration and the encouragement!! 0:50 ??? ????????,positive,raga
New Wave Psychopath,One last ride... Again.,positive,raga
Jeevan Dhanoliya,Its start is just like avenger infinity Whatever be i am too excited,positive,raga
Ge Ja,A lot of computerized scenes like some Indian movies ????,negative,raga
JarMenDoto,Stunt choreographer : How do you want to defy the gravity this time? Director : Yes.,negative,raga
Vishal Giri,The movie that Gravity forgot ??,negative,raga
Byorka D Rax,HAN !!!! ????,neutral,raga
Gustavo Ortiz,DOM - “ ASIAN BRO BROBACK!”,positive,raga
Kanye Grady,Fast 20: god is coming for you dom,positive,raga
lingeswaran nagarajan,Climax: John cena either dies or joins with Diesel for future adventures ??????,neutral,raga
Johan Fadillah,Org indo yng mampir kesini like nya dong akwowkwowk,negative,raga
BTS love,The whole time watching it I was just screaming damm nothing is better than FF,positive,raga
Mason Myers 31st,FasTEN for Furious see how I did oh yea lol????,positive,raga
Bay Area Coalition,This makes me miss the early 2000s.,positive,raga
Jesse Meyer,“THERES NO BRIDGE” Trust me... were in a fast and furious movie,negative,raga
?????? ????????,???? ??? ?????? ???? ???? ????? ???? ?????? ????????????? ????? ???????,neutral,raga
alex tonche,Like to let vin diesels hair grow.,neutral,raga
Kevins Journal,Watching this just for Han miss him so much!!,neutral,raga
Rohit Bobli,Forget about John Cena ... First check whether the Chinese men at the end has corona or not,negative,raga
Kyle Martin,The Fast and Furious brought in John Cena for the WWE storylines,neutral,raga
Manish goplani,How did han survived the blast??????,neutral,raga
Edi,Me: this is trash Kid cudi: i can still feeeel the looove,positive,raga
jayy ceballos,For me It would be a good ending in fast & furious 10 that dom sacrifices his life for his family & use cgi of Paul walkers brothers & make it seem like he reunites with Paul in heaven. That would be great ending for the series franchise???????,positive,raga
Rorschach,This movie is just the imagination of a 7 year old playing hot wheels,neutral,raga
TruKat,"Fast and furious without Paul is just ""Furious"" you know what i mean? xD",neutral,raga
?????? ??????,ok yo georgians come out i know youre here lol,neutral,raga
febi kinanti,"arrived there paul Walker omg Tiba"" Ada Paul Walker yatuhan)",positive,raga
Khalida Halkoum,One questio . If Jakob is doms brother so.. Wher was he all this time ???,neutral,raga
IXO,When Fast X comes out is John Cena and Vin Diesel vs their little lost brother Channing Tatum.,neutral,raga
Marek Satina,remember when these films used to be about racing? and cars...?,neutral,raga
BxGirl Blazin,Dom knew the whole time that Han was alive for whatever reason. Also when it comes between Jacob and Dom good guys always out do the bad. If you fight with love in your heart youll beat the one with hate in theirs.,positive,raga
Jamal Bata,Fast and Furious: exist Physics: am i a joke to you ?,neutral,raga
badinfo 7878,Han is back............ My faith in the series as been restored.,positive,raga
Tay Wei Hong,Physics: Exist Family: Im gonna end this mans career,neutral,raga
CHIKITO BUBUBABA,and than Walking Dead actor Glen will return on season 11????,neutral,raga
Box Parody,Fast and furious 1/4/5/6/7/8 “my family “ fast and furious 10 “ my family and old family “. Fast and furious 29 “the family reunion “,neutral,raga
Andrew Russell,"2:34 Deadpool: ""Batman did it before me and I still made it look cooler than you.""",negative,raga
Gaming Kostosber,ah : Paul Walker 1973-2013 rip :,neutral,raga
Tony Msagha,Fast & Furious 10: Wrestlemania. . triple threat match The Rock VS John Cena VS Dom. cause why not?,positive,raga
Devosce,Fast and the furious: avengers of days of the future cyber Arkham city.,neutral,raga
Jayden Cartmell,Plot twist: Haun comes back from Tokyo drift?,neutral,raga
Octavius Thomas,Im under the impression that the fast family are going up against super soldiers. Cipher must have some new tech for Jakob,positive,raga
apple juice,Tonys snap really brought back Han from the dead...,neutral,raga
Ankit Jain,For last 8 movies Doms brother was there but You couldnt See him.,neutral,raga
Shape Shifter,Question: What is Simple Jack doing in Fast and Furious? 1:44,neutral,raga
Sarkari News,Without Paul Walker No fast and furious Still missing you,positive,raga
Jacob Douglas,Is that Cypher who is helping Dom Brother?,neutral,raga
leyelikan bature,In real life theyll be dead before even the starting of the movie,negative,raga
Sam Vermax,FF5 : Dom vs The rockHobbs) FF9: Dom vs John CenaJacob) FF10: Dom vs Bautista FF11: Dom vs Steve Austin,neutral,raga
Emperor,An accurate depiction of street racing.,neutral,raga
MAXIMUS,???? ?? ??????? ?????? ?? ? ? ?????? ?????? ?????????,neutral,raga
?????? ???????,Rest in peace Paul ! Rest in peace The Fast and the Furious!,negative,raga
Ivy The Blind Husky,If a 7 years old played hot wheels this would be the end result. ??,neutral,raga
Vincent Keremete-Davies,man at this point Paul Walker could come back I wouldnt even be surprised.,negative,raga
Pearl18 Princess,Dom brother surprised 100% ????,neutral,ardisa
Danny R,So Dom... you have an assassin in the family... K!,neutral,ardisa
Nur Baiti,is ben along day about you my freind,neutral,ardisa
Veteriner im,Sonraki filmdede paul walker ghost rider olarak gelebilir amk film iyice smack downla bilimkurgu karisimi bisi oldu,negative,ardisa
Letho Forbay,Got a feeling that we just watched the whole movie in 4 minutes.,neutral,ardisa
Rowen,Should definitely had Dwayne Johnson,neutral,ardisa
Gershom Tan,Idgaf Ill watch this just cause Han is back.,neutral,ardisa
jazz Wayy,From indonesiawaiting! ??,neutral,ardisa
Red Blue,Hi Paul I know you are watching this movie in heaven because u love cars and Vin Love u,neutral,ardisa
The Man Called Sting,John Cena gets run over by a car Still kicks out at 2,neutral,ardisa
Pulotu Paletua,THERES NO BRIDGE! but theres a rope,neutral,ardisa
Ayush Agrawal,This is turning into Bold and Beautiful,positive,ardisa
Aviciena Fairuz,Soundtrack see you again ??,neutral,ardisa
LeoD Caribbean,man i missed the old good days of fast and furious street racing.,neutral,ardisa
charley15z,I appreciate Charlize Therons commitment to having the worst hair possible for these movies.,negative,ardisa
Labeed Mansoor,Imagine what if The Rock and John Cena would have a face-to-face in the movie.....Wwe moves...,neutral,ardisa
The All American Bad Boy,this series has gone off the rails in the best way.,positive,ardisa
Bryan Nason,It is hard to see Cena as a villain since he is fan favorite and how does van movie sister in the movie come back ?,neutral,ardisa
Winter Tang,My first fast and furious that I watch when I was a kid is tokyo drift because I really love fast cars and Han is my favorite character even though I didnt know his name before and was sad when he died. I can finally see him drive here again,neutral,ardisa
Der Boss,F&F: Paul Walker is gone Also F&F: John Cena is Doms brother,neutral,ardisa
SHSHOX !,The villain is going to be hard to defeat especially when you cant see him,neutral,ardisa
Marko T.,Fast Furious 20- Toreto find out that he is his own father...,neutral,ardisa
syed nazzim,In the post-credit scene Nick fury hires Vin diesel for an avenger.,neutral,ardisa
Chris,Fast and furious 10: The last ride Fast and furious 11: The final last ride Fast and furious 12: The final last ride - part 2 Fast and furious 13: The new ride,neutral,ardisa
mr burnik,"Next chapter : Hitler joins the crew its now ""FAST NEIN""",neutral,ardisa
JaysonCreates,The infinity stones really did bring everyone back,neutral,ardisa
TraceFit By Kundai Murapa,This trailer apparently has Doms brother but i cant see him.,neutral,ardisa
A O,Remember when F&F was about cars and racing... SMH,negative,ardisa
Josh Juarez,"Dom- ""Family is everything"" Whole movie Tries to kill his brother.",neutral,ardisa
samira noor,furious 10 - the resurrection of gisele furious 11 - brian: surprise surprisee,neutral,ardisa
Ill slap ya mum with an Argos catalogue,Dom: Family is the most important thing in the world Also dom: did I forget to mention my brother these past 20 years.,neutral,ardisa
nachi316,Sir Issac Newton: “How many laws of physics are you gonna defy?” Justin Lin: “Yes”.,neutral,ardisa
Dávid Nagy,This is absurd really....still gonna pay for it.,negative,ardisa
john wick,Han the type of guy to survive even corona virus.,neutral,ardisa
Benton Xavier,Please tell me thats not a Pontiac Fiero strapped to a rocket engine Two films later...,negative,ardisa
milan dhara,Doms brother was here since F&F you just...,neutral,ardisa
IDoNothingButCommentOnVideos,Fast And Furious 10: Doms Hair Is Back To Kill Him,neutral,ardisa
Arfeen Rahat,Forget the trailerI came here to read comments????,negative,ardisa
IRHasDiabetes911,"The Fast and the Furious: ""Well be making movies forever!"" Coronavirus: ""You have to be stopped.""",negative,ardisa
420BlazeiT 01,Dom being chased by a whole army shooting at him constantly while blowing nukes behind him and going 120mph on a mountain Doms Face: ·___·,neutral,ardisa
Cherry Stone,I remember when it was about Street Racing and stealing DVD players lol,neutral,ardisa
Sandu SG,Where is Jason Statham where is Dwayne Johnson? Wtf?,neutral,ardisa
Batuhan Erbil,I mean in 1:30 how did Dom just flied and hit his head to the ceiling I cant understand is this the new Paranormal Activity movie,negative,ardisa
Fidelia Amanda,i wish Paul could survived on an accident car like han does,neutral,ardisa
Iketani Koichiro,If Paul was still alive he wouldve changed the movies purpose back into cars,neutral,ardisa
Doctor Sam,Fast 10: Your grandfather Vince Mcmahon is back to kill you Dom. Fast 11: Your uncle HHH is back Dom. Fast 12: Your dad Shawn Michaels is getting his hands on nuclear weapons Dom. Fast 13: Your prom dates brother AJ Styles coming for you Dom,neutral,ardisa
Neon,When i call my friends and my lil brother call his friends.,neutral,ardisa
Jetfire97,2:35 rip Hans car,neutral,ardisa
SILENT D. A.,Sean from Tokyo Drift is in this. Slow the video down and watch when the “rocket strapped to a Pontiac fiaro “clip is playing,neutral,ardisa
awsome,Fast and the furious 1 - 3 about cars with some background on the characters. 4-9 pure hype trash with basically nothing about cars.,neutral,ardisa
Saurav Samal,Stephen Hawkins just rolled in his grave witnessing the physics here,negative,ardisa
Jason Gann,Family is everything thats why in the past 8 movies when his life was on the line no one & I mean no one ever mentioned doms brother. ??x100k,negative,ardisa
virgilio moncada,So now that Han is back can we have a second Tokyo drift? This time with Eurobeat please.,positive,ardisa
Wreck Pw,Fast 10: Superpowers basically Director: We not gonna stop until this crew beats Galactus with the Avengers,negative,ardisa
supercar playz,John cena the invisible assassin PLOT TWIST: Hes not their.,negative,ardisa
I Slay Goblins,FF6: You dont turn your back on Family even when they do. FF9: Were gonna fight Doms little brother.,neutral,ardisa
The Fox,i always interested to have a look all those supreme editors.,positive,ardisa
Hero Nerd,Dom: Im gonna take you down little brother. Jacob: how can you take down what you cant see?,neutral,ardisa
??????Al laklak,Who is here because its the only movie trailer on trendending in quarentine,negative,ardisa
InZomnia365,Tell me youre not thinking what Im thinking. Classic.,neutral,ardisa
JaysonCreates,The infinity stones really did bring everyone back,neutral,ardisa
Chris,Fast and furious 10: The last ride Fast and furious 11: The final last ride Fast and furious 12: The final last ride - part 2 Fast and furious 13: The new ride,neutral,ardisa
mr burnik,"Next chapter : Hitler joins the crew its now ""FAST NEIN""",neutral,ardisa
Marko T.,Fast Furious 20- Toreto find out that he is his own father...,neutral,ardisa
syed nazzim,In the post-credit scene Nick fury hires Vin diesel for an avenger.,neutral,ardisa
Cherry Stone,I remember when it was about Street Racing and stealing DVD players lol,neutral,ardisa
Josh Juarez,"Dom- ""Family is everything"" Whole movie Tries to kill his brother.",neutral,ardisa
TraceFit By Kundai Murapa,This trailer apparently has Doms brother but i cant see him.,neutral,ardisa
nachi316,Sir Issac Newton: “How many laws of physics are you gonna defy?” Justin Lin: “Yes”.,neutral,ardisa
john wick,Han the type of guy to survive even corona virus.,neutral,ardisa
tommy d,Best supporting actor: Hans potato chips,neutral,ardisa
A O,Remember when F&F was about cars and racing... SMH,negative,ardisa
Benton Xavier,Please tell me thats not a Pontiac Fiero strapped to a rocket engine Two films later...,negative,ardisa
Dávid Nagy,This is absurd really....still gonna pay for it.,negative,ardisa
Arfeen Rahat,Forget the trailerI came here to read comments????,negative,ardisa
I Slay Goblins,FF6: You dont turn your back on Family even when they do. FF9: Were gonna fight Doms little brother.,neutral,ardisa
samira noor,furious 10 - the resurrection of gisele furious 11 - brian: surprise surprisee,neutral,ardisa
420BlazeiT 01,Dom being chased by a whole army shooting at him constantly while blowing nukes behind him and going 120mph on a mountain Doms Face: ·___·,neutral,ardisa
IDoNothingButCommentOnVideos,Fast And Furious 10: Doms Hair Is Back To Kill Him,neutral,ardisa
IRHasDiabetes911,"The Fast and the Furious: ""Well be making movies forever!"" Coronavirus: ""You have to be stopped.""",negative,ardisa
SHSHOX !,The villain is going to be hard to defeat especially when you cant see him,neutral,ardisa
Fidelia Amanda,i wish Paul could survived on an accident car like han does,neutral,ardisa
Iketani Koichiro,If Paul was still alive he wouldve changed the movies purpose back into cars,neutral,ardisa
Batuhan Erbil,I mean in 1:30 how did Dom just flied and hit his head to the ceiling I cant understand is this the new Paranormal Activity movie,negative,ardisa
virgilio moncada,So now that Han is back can we have a second Tokyo drift? This time with Eurobeat please.,positive,ardisa
,John Cena is Doms brother Me: Ye Im probably not gonna see this thats just horrible.. Han is back from the dead Me: On second thought...,neutral,ardisa
Wreck Pw,Fast 10: Superpowers basically Director: We not gonna stop until this crew beats Galactus with the Avengers,negative,ardisa
Sandu SG,Where is Jason Statham where is Dwayne Johnson? Wtf?,neutral,ardisa
Jetfire97,2:35 rip Hans car,neutral,ardisa
??????Al laklak,Who is here because its the only movie trailer on trendending in quarentine,negative,ardisa
Saurav Samal,Stephen Hawkins just rolled in his grave witnessing the physics here,negative,ardisa
SILENT D. A.,Sean from Tokyo Drift is in this. Slow the video down and watch when the “rocket strapped to a Pontiac fiaro “clip is playing,neutral,ardisa
awsome,Fast and the furious 1 - 3 about cars with some background on the characters. 4-9 pure hype trash with basically nothing about cars.,negative,ardisa
supercar playz,John cena the invisible assassin PLOT TWIST: Hes not their.,negative,ardisa
tudor patrascu,F&F 10:Dom learns that Letty is his sister,neutral,ardisa
Eddie Cardwell,FF23 - “Being a Grandpa doesnt mean you put the keys down and retire from the wheel. Living your life a quarter of a mile at a time is eternal. Now my Grandson wants to take over the world and I must stop him.”,neutral,ardisa
tonymontana1231,Imagine if they brind back Paul after huge conspiracy.,neutral,ardisa
Hero Nerd,Dom: Im gonna take you down little brother. Jacob: how can you take down what you cant see?,neutral,ardisa
Adam Vilímek,Plot twis john cena is at all fas and furious,negative,ardisa
Hans Daniel,This enemy is very difficult to defeat because we cannot see him,neutral,ardisa
SHSHOX !,The villain is going to be hard to defeat especially when you cant see him,neutral,ardisa
Marko T.,Fast Furious 20- Toreto find out that he is his own father...,neutral,ardisa
syed nazzim,In the post-credit scene Nick fury hires Vin diesel for an avenger.,neutral,ardisa
Chris,Fast and furious 10: The last ride Fast and furious 11: The final last ride Fast and furious 12: The final last ride - part 2 Fast and furious 13: The new ride,neutral,ardisa
mr burnik,"Next chapter : Hitler joins the crew its now ""FAST NEIN""",neutral,ardisa
JaysonCreates,The infinity stones really did bring everyone back,neutral,ardisa
TraceFit By Kundai Murapa,This trailer apparently has Doms brother but i cant see him.,neutral,ardisa
A O,Remember when F&F was about cars and racing... SMH,negative,ardisa
Josh Juarez,"Dom- ""Family is everything"" Whole movie Tries to kill his brother.",neutral,ardisa
samira noor,furious 10 - the resurrection of gisele furious 11 - brian: surprise surprisee,neutral,ardisa
Ill slap ya mum with an Argos catalogue,Dom: Family is the most important thing in the world Also dom: did I forget to mention my brother these past 20 years.,neutral,ardisa
nachi316,Sir Issac Newton: “How many laws of physics are you gonna defy?” Justin Lin: “Yes”.,neutral,ardisa
Dávid Nagy,This is absurd really....still gonna pay for it.,negative,ardisa
john wick,Han the type of guy to survive even corona virus.,neutral,ardisa
Benton Xavier,Please tell me thats not a Pontiac Fiero strapped to a rocket engine Two films later...,negative,ardisa
milan dhara,Doms brother was here since F&F you just...,neutral,ardisa
IDoNothingButCommentOnVideos,Fast And Furious 10: Doms Hair Is Back To Kill Him,neutral,ardisa
Arfeen Rahat,Forget the trailerI came here to read comments????,negative,ardisa
IRHasDiabetes911,"The Fast and the Furious: ""Well be making movies forever!"" Coronavirus: ""You have to be stopped.""",negative,ardisa
420BlazeiT 01,Dom being chased by a whole army shooting at him constantly while blowing nukes behind him and going 120mph on a mountain Doms Face: ·___·,neutral,ardisa
Cherry Stone,I remember when it was about Street Racing and stealing DVD players lol,neutral,ardisa
Sandu SG,Where is Jason Statham where is Dwayne Johnson? Wtf?,neutral,ardisa
Batuhan Erbil,I mean in 1:30 how did Dom just flied and hit his head to the ceiling I cant understand is this the new Paranormal Activity movie,negative,ardisa
Fidelia Amanda,i wish Paul could survived on an accident car like han does,neutral,ardisa
Iketani Koichiro,If Paul was still alive he wouldve changed the movies purpose back into cars,neutral,ardisa
Doctor Sam,Fast 10: Your grandfather Vince Mcmahon is back to kill you Dom. Fast 11: Your uncle HHH is back Dom. Fast 12: Your dad Shawn Michaels is getting his hands on nuclear weapons Dom. Fast 13: Your prom dates brother AJ Styles coming for you Dom,neutral,ardisa
Neon,When i call my friends and my lil brother call his friends.,neutral,ardisa
Jetfire97,2:35 rip Hans car,neutral,ardisa
SILENT D. A.,Sean from Tokyo Drift is in this. Slow the video down and watch when the “rocket strapped to a Pontiac fiaro “clip is playing,neutral,ardisa
awsome,Fast and the furious 1 - 3 about cars with some background on the characters. 4-9 pure hype trash with basically nothing about cars.,negative,ardisa
Saurav Samal,Stephen Hawkins just rolled in his grave witnessing the physics here,negative,ardisa
Jason Gann,Family is everything thats why in the past 8 movies when his life was on the line no one & I mean no one ever mentioned doms brother. ??x100k,negative,ardisa
virgilio moncada,So now that Han is back can we have a second Tokyo drift? This time with Eurobeat please.,positive,ardisa
Wreck Pw,Fast 10: Superpowers basically Director: We not gonna stop until this crew beats Galactus with the Avengers,negative,ardisa
supercar playz,John cena the invisible assassin PLOT TWIST: Hes not their.,negative,ardisa
I Slay Goblins,FF6: You dont turn your back on Family even when they do. FF9: Were gonna fight Doms little brother.,neutral,ardisa
The Fox,i always interested to have a look all those supreme editors.,positive,ardisa
Hero Nerd,Dom: Im gonna take you down little brother. Jacob: how can you take down what you cant see?,neutral,ardisa
??????Al laklak,Who is here because its the only movie trailer on trendending in quarentine,negative,ardisa
InZomnia365,Tell me youre not thinking what Im thinking. Classic.,neutral,ardisa